UWI,Latitude,Longitude
100/10-32-072-08W6/00,55.282367,-119.187554
100/11-36-072-08W6/00,55.282801,-119.09555
100/07-02-073-08W6/00,55.290689,-119.109218
100/11-25-072-08W6/00,55.26814,-119.095204
100/10-35-072-08W6/00,55.282673,-119.109335
100/07-05-073-08W6/00,55.291215,-119.186688
100/16-26-072-08W6/00,55.268998,-119.108568
100/01-10-073-08W6/00,55.304594,-119.133863
100/05-08-073-08W6/00,55.306428,-119.199358
100/07-03-073-08W6/00,55.291319,-119.135174
100/13-04-073-08W6/00,55.298294,-119.17369
100/07-34-072-08W6/00,55.276441,-119.135534
100/11-26-072-08W6/00,55.268354,-119.121546
100/09-17-073-08W6/00,55.326446,-119.185712
100/07-36-072-08W6/00,55.278914,-119.083427
100/07-09-073-08W6/00,55.306463,-119.162829
100/06-35-072-08W6/00,55.279083,-119.116434
100/14-03-073-08W6/02,55.300942,-119.142137
100/14-34-072-08W6/00,55.286305,-119.142059
100/06-36-072-08W6/00,55.277364,-119.093828
100/06-17-073-08W6/00,55.322751,-119.193081
100/08-35-072-08W6/00,55.279075,-119.103768
100/08-19-073-08W6/00,55.337205,-119.210921
100/16-28-072-08W6/02,55.271856,-119.15962
100/16-27-072-08W6/00,55.27177,-119.129413
100/14-35-072-08W6/00,55.286157,-119.116437
100/14-27-072-08W6/02,55.271767,-119.146236
100/06-27-072-08W6/00,55.264639,-119.142053
100/06-28-072-08W6/00,55.26464,-119.167481
100/16-08-073-08W6/00,55.315279,-119.180946
100/06-34-072-08W6/02,55.279087,-119.142055
100/16-05-073-08W6/00,55.300897,-119.180899
100/08-08-073-08W6/00,55.308125,-119.180906
100/08-26-072-08W6/00,55.263093,-119.103768
100/14-28-072-08W6/02,55.271857,-119.16768
100/08-33-072-08W6/02,55.277434,-119.155513
100/14-22-072-08W6/00,55.257233,-119.142056
100/06-22-072-08W6/00,55.25001,-119.142051
100/06-26-072-08W6/00,55.265881,-119.116433
100/08-28-072-08W6/00,55.264636,-119.155103
100/14-08-073-08W6/02,55.31505,-119.19333
100/06-33-072-08W6/02,55.276453,-119.167686
100/06-23-072-08W6/00,55.250009,-119.116428
100/06-02-073-08W6/00,55.293701,-119.116894
100/08-20-072-07W6/00,55.24738,-119.026811
100/14-02-073-08W6/00,55.298268,-119.121084
100/08-22-072-08W6/00,55.249833,-119.129975
100/08-27-072-08W6/00,55.26647,-119.129412
100/16-22-072-08W6/00,55.256359,-119.130621
100/16-23-072-08W6/00,55.257218,-119.104306
100/14-23-072-08W6/00,55.252273,-119.116739
100/14-09-073-08W6/00,55.312843,-119.16745
100/06-09-073-08W6/00,55.308273,-119.172312
100/08-23-072-08W6/00,55.250091,-119.105018
100/16-18-072-07W6/00,55.242807,-119.052438
100/16-03-073-08W6/00,55.29908,-119.132631
100/06-16-072-07W6/02,55.234433,-119.015827
100/14-17-072-07W6/00,55.24295,-119.043318
100/16-36-072-08W6/00,55.283273,-119.07813
100/06-29-072-07W6/00,55.260704,-119.048153
100/16-20-072-07W6/00,55.253969,-119.037329
100/14-20-072-07W6/00,55.257261,-119.044101
100/08-19-072-07W6/00,55.248311,-119.052438
100/16-17-072-07W6/00,55.242826,-119.026817
100/06-20-072-07W6/00,55.248194,-119.04457
100/14-32-072-08W6/00,55.286433,-119.198014
100/06-04-073-08W6/00,55.291782,-119.172035
100/14-16-072-07W6/00,55.242818,-119.01471
100/06-21-072-07W6/00,55.247756,-119.017544
100/08-17-072-07W6/00,55.235594,-119.031467
100/16-21-072-08W6/00,55.256912,-119.1551
100/06-17-072-07W6/00,55.23558,-119.039461
100/16-31-072-08W6/02,55.28643,-119.206073
100/06-05-073-08W6/00,55.291363,-119.193751
100/08-09-073-08W6/00,55.308143,-119.155187
100/06-32-072-08W6/00,55.279077,-119.193341
100/06-03-073-08W6/02,55.293714,-119.142031
100/08-06-073-08W6/00,55.291164,-119.206307
100/15-04-073-08W6/02,55.298364,-119.165103
100/08-29-072-07W6/00,55.254291,-119.038436
1F1/14-27-072-08W6/00,55.270734,-119.146159
100/12-23-072-08W6/00,55.252274,-119.11737
100/02-27-072-08W6/02,55.258492,-119.140169
100/12-27-072-08W6/00,55.267592,-119.148912
1F1/16-19-072-07W6/00,55.254725,-119.057607
102/14-20-072-07W6/00,55.257261,-119.044571
1F1/06-02-073-08W6/00,55.293422,-119.117052
1F1/14-02-073-08W6/00,55.298447,-119.121084
1F1/16-02-073-08W6/00,55.298044,-119.107845
100/04-01-073-08W6/00,55.287553,-119.099674
100/02-35-072-08W6/00,55.273066,-119.111475
100/09-26-072-08W6/00,55.266997,-119.103846
100/04-36-072-08W6/00,55.274404,-119.098883
100/10-02-073-08W6/00,55.298154,-119.106752
102/10-16-072-07W6/00,55.239134,-119.012038
100/13-09-073-08W6/00,55.31227,-119.177823
100/08-17-073-08W6/00,55.320051,-119.185296
100/14-17-073-08W6/00,55.326949,-119.195586
102/08-20-072-07W6/00,55.24965,-119.030582
100/05-02-073-08W6/00,55.2907,-119.123657
100/12-35-072-08W6/00,55.281275,-119.122961
100/03-35-072-08W6/00,55.273837,-119.121183
100/02-36-072-08W6/00,55.27515,-119.088476
100/02-26-072-08W6/00,55.263093,-119.104869
100/02-33-072-08W6/00,55.275085,-119.161241
100/04-34-072-08W6/00,55.274192,-119.15062
1F1/04-01-073-08W6/00,55.287577,-119.099384
100/04-16-073-08W6/04,55.318593,-119.178458
100/10-33-072-08W6/02,55.280113,-119.163108
102/16-33-072-08W6/00,55.283561,-119.161131
103/14-33-072-08W6/00,55.284087,-119.170176
100/03-09-073-08W6/00,55.302526,-119.171941
100/07-04-073-08W6/00,55.292296,-119.166122
100/01-08-073-08W6/00,55.304128,-119.185609
100/10-29-072-07W6/00,55.260287,-119.047816
100/11-33-072-08W6/00,55.280695,-119.172507
100/03-27-072-08W6/00,55.263945,-119.146466
100/02-04-073-08W6/00,55.287563,-119.165667
100/04-04-073-08W6/00,55.29015,-119.177961
100/12-34-072-08W6/00,55.278544,-119.142058
102/06-05-073-08W6/00,55.302125,-119.214382
102/14-05-073-08W6/00,55.302,-119.214294
